PricingKey,ProductKey,ChannelKey,EffectiveDateKey,ChannelMRP,TransferPrice,MarginSpreadAmount,MarginSpreadPct,SourceSystem,ETL_LoadedAt
49,758,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
50,757,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
51,756,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
52,759,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
53,754,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
54,755,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
55,890,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
56,889,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
57,888,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
58,891,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
59,886,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
60,887,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
61,746,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
62,745,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
63,744,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
64,747,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
65,742,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
66,743,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
67,715,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
68,714,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
69,713,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
70,716,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
71,711,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
72,712,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
73,673,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
74,672,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
75,671,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
76,674,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
77,669,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
78,670,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
79,831,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
80,830,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
81,829,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
82,832,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
83,827,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
84,828,1,20220501,1895.00,438.00,1457.00,332.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
85,884,1,20220501,2195.00,505.00,1690.00,334.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
86,883,1,20220501,2195.00,505.00,1690.00,334.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
87,882,1,20220501,2195.00,505.00,1690.00,334.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
88,885,1,20220501,2195.00,505.00,1690.00,334.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
89,880,1,20220501,2195.00,505.00,1690.00,334.65,May 2022 Pricing Master,2026-09-07T07:48:47.421676
90,403,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
91,399,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
92,413,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
93,412,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
