LocationKey,City,State,PostalCode,Country,Region,CreatedDate
72,ALIGARH,UTTAR PRADESH,202137,IN,North India,2026-09-06T03:33:59.032832
73,ALIGARH,UTTAR PRADESH,202281,IN,North India,2026-09-06T03:33:59.032832
74,ALIPURDUAR,WEST BENGAL,735215,IN,East & North-East,2026-09-06T03:33:59.032832
75,ALIPURDUAR,WEST BENGAL,736121,IN,East & North-East,2026-09-06T03:33:59.032832
76,ALLAHABAD,UTTAR PRADESH,211001,IN,North India,2026-09-06T03:33:59.032832
77,ALLAHABAD,UTTAR PRADESH,211002,IN,North India,2026-09-06T03:33:59.032832
78,ALLAHABAD,UTTAR PRADESH,211007,IN,North India,2026-09-06T03:33:59.032832
79,ALLAHABAD,UTTAR PRADESH,211008,IN,North India,2026-09-06T03:33:59.032832
80,"ALLAPRA, PERUMBAVOOR",KERALA,683556,IN,South India,2026-09-06T03:33:59.032832
81,ALLAVARAM,ANDHRA PRADESH,533217,IN,South India,2026-09-06T03:33:59.032832
82,",HYDERABAD",TELANGANA,500038,IN,South India,2026-09-06T03:33:59.032832
83,..KATRA,JAMMU & KASHMIR,182301,IN,North India,2026-09-06T03:33:59.032832
84,1,UTTARAKHAND,248001,IN,North India,2026-09-06T03:33:59.032832
85,"116  B. P. M. B SARANI, UTTARPARA KOTRUNG",WEST BENGAL,712232,IN,East & North-East,2026-09-06T03:33:59.032832
86,53MILES,HIMACHAL PRADESH,176056,IN,North India,2026-09-06T03:33:59.032832
87,6TH MILE TADONG,SIKKIM,737102,IN,Other,2026-09-06T03:33:59.032832
88,AALO,ARUNACHAL PRADESH,791001,IN,Other,2026-09-06T03:33:59.032832
89,ABOHAR,PUNJAB,152116,IN,North India,2026-09-06T03:33:59.032832
90,ACHHNERA,UTTAR PRADESH,283101,IN,North India,2026-09-06T03:33:59.032832
91,ADALAJ,GUJARAT,382421,IN,West India,2026-09-06T03:33:59.032832
92,"ADARSH NAGAR, JAIPUR",RAJASTHAN,302004,IN,North India,2026-09-06T03:33:59.032832
93,ADDANKI,ANDHRA PRADESH,523201,IN,South India,2026-09-06T03:33:59.032832
94,ADICHANALLOOR,KERALA,691572,IN,South India,2026-09-06T03:33:59.032832
95,ADILABAD,TELANGANA,504107,IN,South India,2026-09-06T03:33:59.032832
96,ADILABAD,TELANGANA,505504,IN,South India,2026-09-06T03:33:59.032832
97,ADINAD,KERALA,690573,IN,South India,2026-09-06T03:33:59.032832
98,ADITYANA,GUJARAT,360545,IN,West India,2026-09-06T03:33:59.032832
99,ADOOR,KERALA,689694,IN,South India,2026-09-06T03:33:59.032832
100,ADOOR,KERALA,691525,IN,South India,2026-09-06T03:33:59.032832
101,ADOOR,KERALA,691555,IN,South India,2026-09-06T03:33:59.032832
102,"ADOOR, VADDAKKEDATHU CAVU",KERALA,691523,IN,South India,2026-09-06T03:33:59.032832
103,AGAR,MADHYA PRADESH,465441,IN,Central India,2026-09-06T03:33:59.032832
104,AGARTALA,TRIPURA,799004,IN,Other,2026-09-06T03:33:59.032832
105,AGARTALA,TRIPURA,799005,IN,Other,2026-09-06T03:33:59.032832
106,AGARTALA,TRIPURA,799007,IN,Other,2026-09-06T03:33:59.032832
107,AGARTALA,TRIPURA,799010,IN,Other,2026-09-06T03:33:59.032832
108,AGRA,UTTAR PRADESH,282005,IN,North India,2026-09-06T03:33:59.032832
109,AGRA,UTTAR PRADESH,282006,IN,North India,2026-09-06T03:33:59.032832
110,AGRA,UTTAR PRADESH,282007,IN,North India,2026-09-06T03:33:59.032832
111,AHEMDABAD,GUJARAT,382213,IN,West India,2026-09-06T03:33:59.032832
112,AHERI,MAHARASHTRA,442705,IN,West India,2026-09-06T03:33:59.032832
113,AHMADNAGAR,MAHARASHTRA,414005,IN,West India,2026-09-06T03:33:59.032832
114,AHMADNAGAR,MAHARASHTRA,414601,IN,West India,2026-09-06T03:33:59.032832
115,AHMEDABAD,GUJARAT,380006,IN,West India,2026-09-06T03:33:59.032832
116,AHMEDABAD,GUJARAT,380007,IN,West India,2026-09-06T03:33:59.032832
117,AHMEDABAD,GUJARAT,380022,IN,West India,2026-09-06T03:33:59.032832
118,AHMEDABAD,GUJARAT,380023,IN,West India,2026-09-06T03:33:59.032832
