InventoryKey,SnapshotDateKey,ProductKey,StockOnHandQuantity,ReorderThreshold,StockValueAtCost,StockValueAtMRP,SourceSystem,ETL_LoadedAt
70,20220601,1752,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
71,20220601,1757,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
72,20220601,1760,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
73,20220601,1761,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
74,20220601,1762,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
75,20220601,1765,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
76,20220601,1766,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
77,20220601,1771,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
78,20220601,1776,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
79,20220601,1782,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
80,20220601,1787,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
81,20220601,1788,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
82,20220601,1791,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
83,20220601,1794,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
84,20220601,1799,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
85,20220601,1801,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
86,20220601,1804,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
87,20220601,1805,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
88,20220601,1809,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
89,20220601,1811,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
90,20220601,1816,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
91,20220601,1822,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
92,20220601,1834,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
93,20220601,1836,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
94,20220601,1840,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
95,20220601,1845,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
96,20220601,1850,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
97,20220601,1853,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
98,20220601,1858,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
99,20220601,1863,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
100,20220601,1866,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
101,20220601,1871,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
102,20220601,1876,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
103,20220601,1880,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
104,20220601,1882,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
105,20220601,1888,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
106,20220601,1892,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
107,20220601,1896,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
108,20220601,1899,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
109,20220601,2982,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
110,20220601,2987,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
111,20220601,2992,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
112,20220601,2999,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
113,20220601,3001,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
