ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
600,OS170_5048_M,KURTA - OS170_5048 (COLORS-7),KURTA,1538.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
53,OS104_1276_3XL,KURTA - OS104_1276 (MIX),KURTA,1595.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
743,OS195_5055_3XL,KURTA - OS195_5055 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
992,OS255_15375_S,KURTA - OS255_15375 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
302,OS1137_XL,KURTA SET - OS1137 (SURMAYA),KURTA SET,2695.00,1150.00,2695.00,2695.00,2695.00,2695.00,2695.00,2695.00,2695.00,0.00,0E-15
388,OS133_3XL,KURTA SET - OS133 (MIX),KURTA SET,3495.00,790.00,3495.00,3495.00,3495.00,3495.00,3495.00,3495.00,3495.00,0.00,0E-15
929,OS226_1436_3XL,KURTA SET - OS226_1436 (ROZANA),KURTA SET,2378.00,590.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,0.00,0E-15
351,OS122_1736_2XL,KURTA - OS122_1736 (MIX),KURTA,1895.00,471.00,1895.00,1895.00,1895.00,1895.00,1995.00,1895.00,1895.00,100.00,5.280000000000000
786,OS202_3146_3XL,KURTA - OS202_3146 (MOMENTS),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
1035,OS262_XL,KURTA - OS262 (MIX),KURTA,1995.00,425.00,1695.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,300.00,17.700000000000000
537,OS160_MM,KURTA - OS160 (MIX),KURTA,2240.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1895.00,1695.00,200.00,11.800000000000000
1135,OS278KR_L,KURTA - OS278KR (MIX),KURTA,2397.00,460.00,2397.00,2397.00,2397.00,2397.00,2397.00,2397.00,2397.00,0.00,0E-15
1178,OS283_M,KURTA - OS283 (MIX),KURTA,2197.00,425.00,2197.00,2197.00,2197.00,2197.00,2197.00,2197.00,2197.00,0.00,0E-15
637,OS176_1015_S,KURTA - OS176_1015 (MIX),KURTA,2918.00,724.00,3095.00,3095.00,3095.00,3095.00,3095.00,3095.00,3095.00,0.00,0E-15
245,OS1108_3XL,KURTA SET - OS1108 (SURMAYA),KURTA SET,1795.00,780.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,0.00,0E-15
1327,RAAG-1365_XL,NILL - RAAG-1365 (NILL),NILL,1523.00,1523.00,1365.00,1365.00,1365.00,1365.00,1365.00,1365.00,1365.00,0.00,0E-15
494,OS153_M,KURTA - OS153 (MIX),KURTA,1695.00,395.00,1895.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,200.00,11.800000000000000
886,OS219_5054_2XL,KURTA - OS219_5054 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
345,OS120_14412_2XL,KURTA - OS120_14412 (MIX),KURTA,1895.00,471.00,1895.00,1895.00,1895.00,1895.00,1995.00,1895.00,1895.00,100.00,5.280000000000000
712,OS189_5056_3XL,KURTA - OS189_5056 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
1044,OS264_L,KURTA - OS264 (MIX),KURTA,1895.00,410.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
165,OS1081_XL,KURTA SET - OS1081 (SURMAYA),KURTA SET,2195.00,895.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
497,OS154_2XL,KURTA - OS154 (MIX),KURTA,1695.00,395.00,1895.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,200.00,11.800000000000000
211,OS1094_M,KURTA SET - OS1094 (SURMAYA),KURTA SET,1995.00,845.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,0.00,0E-15
875,OS217_5071_3XL,KURTA - OS217_5071 (MIX),KURTA,1695.00,424.00,1695.00,1695.00,1695.00,1695.00,1795.00,1695.00,1695.00,100.00,5.900000000000000
852,OS213_15284_M,TOPS - OS213_15284 (MIX),TOPS,1695.00,375.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
188,OS1088_S,KURTA SET - OS1088 (SURMAYA),KURTA SET,2050.00,875.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,2050.00,0.00,0E-15
311,OS1147_L,KURTA SET - OS1147 (SURMAYA),KURTA SET,2695.00,1150.00,2695.00,2695.00,2695.00,2695.00,2695.00,2695.00,2695.00,0.00,0E-15
1190,OS287_S,KURTA SET - OS287 (MIX),KURTA SET,3495.00,695.00,3495.00,3195.00,3495.00,3495.00,3495.00,3495.00,3495.00,300.00,9.390000000000000
998,OS256_15376_S,KURTA - OS256_15376 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
503,OS155_2XL,KURTA - OS155 (MIX),KURTA,1895.00,395.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
334,OS118_3XL,KURTA - OS118 (MIX),KURTA,1895.00,395.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
