Country,State,City,Region,TotalOrders,TotalUnitsSold,GrossRevenue,NetRevenue,GlobalRevenueSharePct
IN,MAHARASHTRA,"HARSUL, AURANGABAD 431001",India,2,2,1437.00,1437.00,0.000000
IN,KERALA,EDATHIRINJI,India,1,1,376.00,376.00,0.000000
IN,MADHYA PRADESH,OBEDULLAHGANJ,India,2,1,1442.00,1442.00,0.000000
IN,KARNATAKA,BEERI KOTEKAR POST,India,1,0,0.00,0.00,0.000000
IN,UTTAR PRADESH,FHATEHPUR,India,1,1,449.00,449.00,0.000000
IN,TAMIL NADU,CHENNAI-81,India,1,0,0.00,0.00,0.000000
IN,PUNJAB,JAITU,India,1,1,357.00,357.00,0.000000
IN,UTTAR PRADESH,NEAR KAUSHALYA VATIKA NH2 ETAWAH,India,1,1,435.00,435.00,0.000000
IN,UTTAR PRADESH,SUMERPUR,India,1,1,487.00,487.00,0.000000
IN,GOA,"RAIBANDER, OLD GOA",India,1,1,399.00,399.00,0.000000
IN,MADHYA PRADESH,LAUNDI,India,1,0,634.29,0.00,0.000000
IN,UTTAR PRADESH,UTRAULA,India,2,2,975.00,975.00,0.000000
IN,TAMIL NADU,RAMANATHAPURAM DIST,India,1,1,549.00,549.00,0.000000
IN,KERALA,"VADUTHALA,KOCHI",India,1,2,1483.00,1483.00,0.000000
IN,WEST BENGAL,BARASAT - I,India,1,1,850.00,850.00,0.000000
IN,MAHARASHTRA,"NALASOPARA,PALGHAR",India,1,1,339.00,339.00,0.000000
IN,ODISHA,BALIKUDA,India,1,1,967.00,967.00,0.000000
IN,JHARKHAND,LAPUNG.....RANCHI,India,1,0,0.00,0.00,0.000000
IN,HIMACHAL PRADESH,"ALAMPUR, KANGRA",India,1,1,597.00,597.00,0.000000
IN,BIHAR,BIHTA,India,1,1,1133.00,1133.00,0.000000
IN,PUNJAB,FEROZPUR CANTT,India,1,1,825.00,825.00,0.000000
IN,HIMACHAL PRADESH,SARKAGHAT,India,1,1,930.00,930.00,0.000000
IN,KARNATAKA,BENGALURU 560085,India,1,0,0.00,0.00,0.000000
IN,ANDHRA PRADESH,KAKINADA (URBAN),India,1,1,499.00,499.00,0.000000
IN,TELANGANA,NASPUR,India,1,1,824.00,824.00,0.000000
IN,CHHATTISGARH,"KARGIKALA, KOTA, BILASPUR",India,1,2,2541.00,2541.00,0.000000
IN,MAHARASHTRA,KALWA THANE,India,1,0,657.14,0.00,0.000000
IN,MAHARASHTRA,DOMBIVALLI,India,1,1,293.00,293.00,0.000000
IN,UTTARAKHAND,DEHARDUN,India,2,2,798.00,798.00,0.000000
IN,ASSAM,MANJA FISH MARKET,India,2,2,1582.00,1582.00,0.000000
IN,UTTAR PRADESH,NOIDA,India,1537,1467,1037799.01,952218.00,0.490000
IN,HIMACHAL PRADESH,SUNDARNAGAR,India,7,6,5931.00,5931.00,0.000000
IN,PUNJAB,BUNGAL,India,10,9,10749.25,7887.00,0.010000
IN,GOA,TISWADI,India,9,9,5481.00,5481.00,0.000000
IN,MAHARASHTRA,GONDIYA,India,29,30,21037.14,19934.00,0.010000
IN,GUJARAT,SIMAR SIR,India,2,3,2022.00,2022.00,0.000000
IN,GUJARAT,SIDHPUR,India,5,5,3782.00,3782.00,0.000000
IN,JHARKHAND,GODDA,India,7,7,5728.00,5728.00,0.000000
IN,MADHYA PRADESH,NARSINGHPUR,India,4,4,3317.00,3317.00,0.000000
IN,GUJARAT,OLPAD,India,1,1,597.00,597.00,0.000000
IN,TAMIL NADU,PANDALKUDI,India,1,1,635.00,635.00,0.000000
IN,KARNATAKA,BANGLURU,India,1,1,399.00,399.00,0.000000
IN,MADHYA PRADESH,VINDHYA NAGAR,India,1,0,0.00,0.00,0.000000
IN,ANDHRA PRADESH,MADAKASIRA,India,3,3,2665.00,2665.00,0.000000
IN,HIMACHAL PRADESH,NALAGARH,India,6,5,4249.00,3198.00,0.000000
IN,UTTAR PRADESH,PALIA KALAN LAKHIMPUR KHERI,India,1,1,519.00,519.00,0.000000
IN,KARNATAKA,CHANNAGIRI,India,2,1,1385.62,958.00,0.000000
IN,KARNATAKA,SHIMOGA,India,18,16,11627.00,11160.00,0.010000
IN,TAMIL NADU,KOVILPATTI,India,14,12,6989.24,4883.00,0.000000
IN,TAMIL NADU,MATHIGIRI,India,8,8,5528.00,5528.00,0.000000
IN,ASSAM,ROWRIAH,India,1,0,0.00,0.00,0.000000
IN,ODISHA,IB THEMAL POWER PLANT BANHARPALI TOWNSHIP,India,5,4,2860.00,2860.00,0.000000
IN,TAMIL NADU,NILGIRIS,India,1,1,885.00,0.00,0.000000
IN,KARNATAKA,KINNIGOLI,India,7,7,4673.67,2960.00,0.000000
IN,ANDHRA PRADESH,ALAMURU,India,2,2,1174.00,1174.00,0.000000
IN,MAHARASHTRA,MULUND W,India,1,1,939.00,939.00,0.000000
IN,MADHYA PRADESH,DABRA,India,1,2,1248.00,1248.00,0.000000
IN,KERALA,VANNAPPURAM,India,1,1,540.00,540.00,0.000000
IN,KERALA,ONGALLUR I,India,2,2,798.00,399.00,0.000000
IN,KERALA,PATHANAMTHITTA,India,145,125,87835.61,70125.00,0.040000
IN,MAHARASHTRA,ARMORI,India,2,1,961.86,399.00,0.000000
IN,KARNATAKA,KUNDGOL,India,2,1,549.00,549.00,0.000000
IN,ANDHRA PRADESH,CHENNUR,India,4,3,2317.00,1617.00,0.000000
IN,JAMMU & KASHMIR,TRAL,India,1,0,0.00,0.00,0.000000
IN,LAKSHADWEEP,KAVARATTI,India,1,1,845.00,845.00,0.000000
IN,MAHARASHTRA,ROHA ASHTAMI,India,13,13,5466.00,5466.00,0.000000
IN,KERALA,WAYANAD,India,6,5,3822.71,2977.00,0.000000
IN,RAJASTHAN,NATHDWARA,India,6,5,4340.00,4340.00,0.000000
IN,GOA,CURTORIM,India,3,3,1313.00,1313.00,0.000000
IN,TAMIL NADU,MELPATTAMPAKKAM,India,1,1,376.00,376.00,0.000000
IN,KARNATAKA,THIMMARAYAGOWDA LAYOUT BANASHANKARI 3RD STATGE,India,2,2,704.00,352.00,0.000000
IN,CHHATTISGARH,RISALI BHILAI,India,2,4,2045.00,2045.00,0.000000
IN,MAHARASHTRA,BADNAPUR,India,1,1,399.00,399.00,0.000000
IN,MAHARASHTRA,HAJARMACHI,India,1,1,747.00,747.00,0.000000
IN,UTTAR PRADESH,BANSGAON,India,2,3,2134.00,2134.00,0.000000
IN,GUJARAT,KHEDA,India,4,4,2425.00,2425.00,0.000000
IN,KERALA,"KOZHENCHERY, PATHANAMTHITTA",India,1,1,725.00,725.00,0.000000
IN,WEST BENGAL,JALPAIGURI,India,35,36,20220.00,20220.00,0.010000
UNITED STATES,CA,SAN FRANCISCO,North America,3464,10388,3157340.79,3064655.73,1.480000
IN,GUJARAT,BHUJ,India,25,26,20203.00,20203.00,0.010000
IN,ASSAM,NAZIRA,India,3,3,2039.00,2039.00,0.000000
IN,UTTAR PRADESH,AZAMGARH,India,49,46,31456.00,28989.00,0.010000
IN,BIHAR,HARNAUT,India,3,3,2234.00,2234.00,0.000000
IN,TELANGANA,JOGULAMBA GADWAL DISTRICT,India,1,1,363.00,363.00,0.000000
IN,TAMIL NADU,THOOTHUKUDI 628008,India,1,1,420.00,420.00,0.000000
IN,MADHYA PRADESH,NASRULLAGANJ,India,1,0,1058.93,0.00,0.000000
IN,HARYANA,MUSTAFABAD,India,1,1,824.00,824.00,0.000000
IN,RAJASTHAN,KOTPUTLI,India,5,3,2435.00,2435.00,0.000000
IN,WEST BENGAL,AMDANGA,India,1,1,517.00,517.00,0.000000
IN,KARNATAKA,BANGALORE 560076,India,1,1,435.00,435.00,0.000000
IN,TAMIL NADU,ILAYANGUDI,India,3,3,2103.00,2103.00,0.000000
IN,LADAKH,CHOGLAMSAR,India,4,4,2547.00,2547.00,0.000000
IN,UTTAR PRADESH,BAHRAICH,India,26,20,14589.91,8984.00,0.010000
IN,DADRA AND NAGAR,ALOK CITY,India,7,4,4688.90,3767.00,0.000000
IN,UTTARAKHAND,UTTARKASHI,India,24,20,14805.00,14292.00,0.010000
IN,BIHAR,DEHRI,India,5,4,2935.00,2935.00,0.000000
IN,JHARKHAND,CHAKRADHARPUR,India,7,7,3883.00,3883.00,0.000000
IN,MAHARASHTRA,NERAL,India,2,2,1002.00,1002.00,0.000000
IN,UTTARAKHAND,PITHORAGARH,India,47,43,31374.67,27017.00,0.010000
IN,KERALA,ENKAKKAD,India,4,3,2005.10,1647.00,0.000000
IN,BIHAR,TIKARI,India,1,1,759.00,759.00,0.000000
IN,MAHARASHTRA,DOMBIVLI EAST,India,43,42,25229.00,23022.00,0.010000
IN,ODISHA,GOLABANDHA,India,7,7,5553.00,5553.00,0.000000
IN,KERALA,DHARMADOM,India,12,11,7369.29,6635.00,0.000000
IN,UTTAR PRADESH,PALIA KALAN,India,7,8,5064.00,5064.00,0.000000
IN,GUJARAT,BANTWA,India,1,1,507.00,0.00,0.000000
